file, method, kernel, grossDiff
case1,nothing,1,23399
case1,nothing,3,23399
case1,nothing,5,23399
case1,nothing,7,23399
case1,nothing,9,23399
case1,GAUSSIAN_BLUR,1,23399
case1,GAUSSIAN_BLUR,3,23496
case1,GAUSSIAN_BLUR,5,20982
case1,GAUSSIAN_BLUR,7,24993
case1,GAUSSIAN_BLUR,9,32723
case1,MEDIAN_BLUR,1,23399
case1,MEDIAN_BLUR,3,21902
case1,MEDIAN_BLUR,5,23456
case1,MEDIAN_BLUR,7,31351
case1,MEDIAN_BLUR,9,28892
case1,BOX_FILTER_BLUR,1,23399
case1,BOX_FILTER_BLUR,3,25299
case1,BOX_FILTER_BLUR,5,24528
case1,BOX_FILTER_BLUR,7,38102
case1,BOX_FILTER_BLUR,9,29098
case1,CONTOUR_STRIP,1,36348
case1,CONTOUR_STRIP,3,26216
case1,CONTOUR_STRIP,5,22371
case1,CONTOUR_STRIP,7,29840
case1,CONTOUR_STRIP,9,24750
case2,nothing,1,18963
case2,nothing,3,18963
case2,nothing,5,18963
case2,nothing,7,18963
case2,nothing,9,18963
case2,GAUSSIAN_BLUR,1,18963
case2,GAUSSIAN_BLUR,3,26663
case2,GAUSSIAN_BLUR,5,19424
case2,GAUSSIAN_BLUR,7,30898
case2,GAUSSIAN_BLUR,9,0
case2,MEDIAN_BLUR,1,18963
case2,MEDIAN_BLUR,3,31268
case2,MEDIAN_BLUR,5,33707
case2,MEDIAN_BLUR,7,0
case2,MEDIAN_BLUR,9,0
case2,BOX_FILTER_BLUR,1,18963
case2,BOX_FILTER_BLUR,3,36429
case2,BOX_FILTER_BLUR,5,0
case2,BOX_FILTER_BLUR,7,0
case2,BOX_FILTER_BLUR,9,0
case2,CONTOUR_STRIP,1,20387
case2,CONTOUR_STRIP,3,35529
case2,CONTOUR_STRIP,5,23545
case2,CONTOUR_STRIP,7,12810
case2,CONTOUR_STRIP,9,9762
case3,nothing,1,20740
case3,nothing,3,20740
case3,nothing,5,20740
case3,nothing,7,20740
case3,nothing,9,20740
case3,GAUSSIAN_BLUR,1,20740
case3,GAUSSIAN_BLUR,3,0
case3,GAUSSIAN_BLUR,5,31782
case3,GAUSSIAN_BLUR,7,0
case3,GAUSSIAN_BLUR,9,0
case3,MEDIAN_BLUR,1,20740
case3,MEDIAN_BLUR,3,24738
case3,MEDIAN_BLUR,5,0
case3,MEDIAN_BLUR,7,0
case3,MEDIAN_BLUR,9,0
case3,BOX_FILTER_BLUR,1,20740
case3,BOX_FILTER_BLUR,3,31685
case3,BOX_FILTER_BLUR,5,0
case3,BOX_FILTER_BLUR,7,0
case3,BOX_FILTER_BLUR,9,0
case3,CONTOUR_STRIP,1,10010
case3,CONTOUR_STRIP,3,30452
case3,CONTOUR_STRIP,5,23627
case3,CONTOUR_STRIP,7,27919
case3,CONTOUR_STRIP,9,18301
